,PROBLEM STATEMENT ,,,,,,,,,,,,
,"Game - Drag and drop

Give 3 clue pictures/words and students find the focus word - example: sick, medicine, treatment -> doctor. (No pictures in the clues or the answer option, students are expected to read, understand and answer correctly) ",,Identify the logical link between the different words ,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
,Story Time,,Hear focus words in context and use,Story uses week's focus words in natural context. Culturally grounded visuals.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Games - Drag and Drop,,,Recall and identify key details from a story.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Blending,,Recognize letter sound correspondence,"Train carriages of letter or letters joined with thread of a word or letters of a word in slide could be shown blend together to form a word. Alternatively, individual letters could be shown in boxes as well to be read together. And vice versa. Here we can also teach, gender and person markers.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Drag and Drop,,,Drag and drop the correct blend.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
,Game - Blending,,,Letters of a word are shown and sounded. Student has to blend all the letters together and read as a word. Match the word with the correct object.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Tap and speak,,,Students tap and say the first letter sound of the object shown in the picture.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,,,,,,,,,,,,,
,Week 1 Session 2,,,,,,,,,,,,
,Rhyme Time recap,,Listen to Tamil rhyme; identify and say the focus words orally,"Rhyme consists of focus words/letters. The lyrics could be shown on the second day. Otherwise, similar to English, recap the focus words through picture.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Game - Drag and Drop,,,"Child taps the picture matching the focus word they hear. Audio and video reward on correct tap. For example, Amma in audio and as a picture.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Game - Spot it,,Identify picture that match a specific focus word.,Spot all the ____ - a 4*2 table with 8 images. Students choose all the images of that focus vocab.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Blending,,Recognize letter sound correspondence,"Train carriages of letter or letters joined with thread of a word or letters of a word in slide could be shown blend together to form a word. Alternatively, individual letters could be shown in boxes as well to be read together. And vice versa.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
,Game - Drag and Drop,,,Drag and drop the correct blend.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
,Game - Blending,,,Letters of a word are shown and sounded. Student has to blend all the letters together and read as a word. Match the word with the correct object.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Tap and speak,,,Students tap and say the first letter sound of the object shown in the picture.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,Game (Like Crossword),,,Tap the synonyms/antonyms of the word.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
,Read With Me ,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
,Decodable texts containing the words learnt that week. 4 to 5 lines at the maximum.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
,Games -> Usual drag and drop // choose the correct answer works. WH questions.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
,Jumbled sentence with 4 words. Students order it correctly. ,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
,Tap and Speak - students read the sentences,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Week 1 Session 3,,,,,,,,,,,,
,,,,,,,,,,,,,
,Rhyme Time,,,"Recognize and name focus words during a timed slideshow, improving their speed of word retrieval.",,,,,,,,,
,Blending & Segmenting,,,Games finalized for this.,,,,,,,,,
,Read With Me ,,,Games finalized for this.,,,,,,,,,
