,PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,
,"Game 1
Drag and Drop",,Place value,,"The screen shows a set of filled H, T, O box containing a specific amount (e.g., 1 Hundred Sack and 5 Loose Seeds). Students must identify the total value and drag the correct number card from four options to match the trays.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2  
Drag and fill",,Place value,,"he screen displays a 3-digit number containing a zero (e.g., 105 or 300) and three baskets labeled H, T, and O. Students must fill these baskets to represent the number. Since certain baskets will remain physically empty, the student must use a ""Placeholder Card"" (a colorless/transparent image of a sack, pouch, or seed) to acknowledge the empty place value and balance the game scale.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Comparison
Explanation video",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Sign drop",,Comparing Numbers,," Two numbers are displayed side-by-side with a square placeholder box positioned exactly between them. (e.g., 140 vs 899). Students must drag and drop the correct comparison symbol (>, <, or =) into the space between them.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Level 3 ( Grade 3 )
  Week 3  ( Addition )
Session 1",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"1. Rhyme Time

Introduction ",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Drag and Drop",,Addition,,"Students are shown a specific quantity of hundreds (Sacks), tens (Pouches), and ones (Loose Seeds) on the screen. They must count the total value across the place value groups and drag the correct 3-digit number from four options into the answer slot.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"2. Story time
Addition",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Count and fill - Type 1 ( without regrouping )",,Addition,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2
Count and fill  - Type 2 
 ( with regrouping )",,Addition,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"3. let us learn
Addressing Placeholder Zero",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Convert First",,Addition,,"In a vertical H-T-O grid, students drag seeds into the 'Ones' column. Once they drag the 10th seed, the column ""shakes"" and refuses to hold more; the student must then click a ""Convert"" button to turn those 10 seeds into 1 Pouch and drag it to the 'Tens' column.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"4. Solve it
Addition using numbers",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Count and fill  ( without regrouping )",,Addition,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2
Count and fill  ( with regrouping )",,Addition,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
," Level 4 ( Grade 4 )
  Week 1  
Session 1  ",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
