CURRENT INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,,,,,
"Baseline assessment (6 questions, 20 seconds per question average = 3-5 minutes)",,,,,,,,,,,,,,,,,
Level 1  (Grade 1/2 roughly),,,,,,,,,,,,,,,,,
Week 1 Session 1 ,Time ,Learning Outcome (general),Description and SK's critiques,L,,S,R,Rc,W,,Notes to Kannan ,,,,,,
Game 3: Trace It,,associate visual forms with vocabulary words while developing fine motor control (pre-writing skills).,Game 3: Trace and colour a theme-based picture,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,
Animated Story Time,,follow a short story sequence and understand the main idea through combined audio and animation.,Story uses week's focus words in natural context. Culturally grounded visuals.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and drop,,"remember and identify key details from a story to answer questions during interactive ""pause points.""","Pause every 45s to 1 minute.  Question pops-up.  Existing drag and drop - Question at the top, 4 options at the bottom. ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Letter Sound Correspondance,,"Hear a group of words and identify the common sound they all share
link a specific sound to its written letter in both capital and small forms","Letter sounds ->  introduce pictures and names of objects starting with the same letter -> identify the common starting letter sound -> introduce the letter - both capital and small letter.
Example: king, kite, kid -> /k/ -> Kk. ",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,,,
,,"listen to a word and match it to a moving visual (like a falling egg) before time runs out.
group different pictures together based solely on their starting letter sound.","Game 1: Identity words with the same starting letter - possible game interfaces - 
Pictures with name fall in the shape of eggs or raindrops - a basket at the bottom to catch the correct words. 
Pictures  listed on the screen and students circle (or tap) the correct words - reference added",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Let us Write,,,Teaching students to write the capital and small letters using the correct strokes,,,,,,,,,,,,,,
Game 1: Spot It,,"find and tap a specific letter even when it's hidden among different shapes or ""distractor"" letters.",Game 1: Tap all the letters -> capital and small letters; Interface can be clouds on the sky (See ref image) or lighting the correct letter candle or something simpler as given in the ref image. ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,
Game 2: Trace It,,produce the correct strokes to write uppercase and lowercase letters accurately.,"Game 2: Tracing letters - both capital and small letters.
And eventually tracing 2 and 3 letter words. ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,
Week 1 Session 2,,,,,,,,,,,,,,,,,
Recap on the focus words,,"recognize and name focus words during a timed slideshow, improving their speed of word retrieval.",A picture card slideshow. Interactive with 5 second pause. ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and Drop,,Identify picture that match a specific focus word.,Game 1: Existing Drag and drop -> audio of the picture mapped to the picture itself. (this can be one audio with 1 answer or 1 audio with multiple answers),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 2: Spot It,,Identify all the pictures that match a specific focus word.,"Game 2: Select all the (example: school) - screen has multiple images from the theme, student choose all the school related pictures. ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Sight Words,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Spot It,,find a target sight word from a group of options when they hear it spoken.,"Game 1: Tap all the words-> audio says a sight word, students have to click and choose the word. Interface can be flowers with the words (See ref image) or something simpler as given in the ref image. ",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,
Game 2: Trace It,,,Game 2: Trace the sight words,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Read With Me ,,Read and comprehend simple phrases and sentences containing words learnt that week,"short phrases -> no more than 4 lines. Not necessary to be related to the theme , but should be tied to phonics and sight words. ",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,
Game 1: Drag and Drop,,,Game 1: Drag and drop // choose the correct answer works.  (existing game),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,
Game 2: Tap and Speak,,,Game 2: Tap and Speak (existing game),,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,
Let us Write,,,Teaching students to write the capital and small letters using the correct strokes,,,,,,,,,,,,,,
